'barcode';'name';'volume';'quantity'
"7801620007010";"MAS CATUN LIMON MENT PET1.6X6";"1600";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1"
"7802130000102";"CERVEZA BALTICA";"354";"1"
"7801620016036";"KEM 12PF-PET 500";"500";"1"
"7801620003975";"MAS CATUN WOM F BOSQ PET500X12";"500";"1"
"7801620290160";"BILZ 6PF-PET 1500";"1500";"1"
"7801620006341";"WATT'S PINA LIGHT 6PF-PET 1.5";"1500";"1"
"7801620010133";"KEM 6PFX4-PET 250";"250";"1"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"1"
"7802100505323";"CRISTAL 6PFX4-LAT470CCPROMOCIÓN";"470";"1"
"7801620011628";"Whatt´s Nectar de Fruta Damasco";"1500";"1"
"7801620360184";"GINGER ALE 6PF-PET 1500";"1500";"1"
